DEPENDENCIA,No.,APELLIDOS Y NOMBRES,TITULAR DEL CARGO,GENERO,DOCUMENTO,FECHA INGRESO,CARGO,CODIGO,GRADO,SUELDO,GASTOS REP.,FECHA CORTE,HOY,DIAS TOTALES,AÑOS,MESES,PERIODOS,OBSERVACIONES,TIPO VINCULACION,REVISION PLANTA
DESPACHO DEL GOBERNADOR,1,GÓMEZ RÍOS LAURA PAOLA,,F,1023456781,2024-01-01,GOBERNADOR,1,NE,21610380,,2025-01-16,2026-04-05,468,1,4,1,Tipo: Vacaciones | Registro base cargado desde CSV,PERIODO FIJO,
PASIVOS PENSIONALES,1,VARGAS BELTRÁN SANDRA PATRICIA,,F,52838958,2025-05-23,DIRECTOR ADMINISTRATIVO,9,8,14466000,,2025-05-23,2026-04-05,341,0,11,0,Tipo: Vacaciones | Registro base cargado desde CSV,LN,
GESTION DEL RIESGO,1,CARDENAS TORRES JULIÁN ANDRÉS,,M,1057571276,2025-12-15,DIRECTOR ADMINISTRATIVO,9,9,17599000,,2025-12-15,2026-04-05,139,0,5,0,Tipo: Vacaciones | Registro base cargado desde CSV,LN,
RELACIONES INTERNACIONALES,2,FLORES ACOSTA JAIME ANDRÉS,,M,1121823850,2025-09-16,DIRECTOR ADMINISTRATIVO,9,9,17599000,,2025-09-16,2026-04-05,228,0,8,0,Tipo: Vacaciones | Registro base cargado desde CSV,LN,
UNIDAD ASESORIA JURIDICA,1,CASTAÑO ARIAS GERMÁN DAVID,,M,74369857,2025-10-20,DIRECTOR ADMINISTRATIVO,9,10,20735000,,2025-10-20,2026-04-05,194,0,6,0,Tipo: Vacaciones | Registro base cargado desde CSV,LN,
SECRETARIA DE GOBIERNO Y ACCION COMUNAL,12,ROJAS QUINTERO MAURICIO,,M,6765911,2026-01-15,SECRETARIO DE DESPACHO,20,10,20735000,,2026-01-15,2026-04-05,109,0,4,0,Tipo: Vacaciones | Registro base cargado desde CSV,LN,
SECRETARIA DE CONTRATACION,13,MORENO IBARRA JORGE LUIS,,M,7181257,2025-10-20,SECRETARIO DE DESPACHO,20,10,20735000,,2025-10-20,2026-04-05,194,0,6,0,Tipo: Vacaciones | Registro base cargado desde CSV,LN,
SECRETARIA DE DESARROLLO EMPRESARIAL,10,ORTIZ MENDOZA ELENA MARÍA,,F,33368966,2025-01-16,SECRETARIO DE DESPACHO,20,10,20735000,,2025-01-16,2026-04-05,468,1,4,1,Tipo: Vacaciones | Registro base cargado desde CSV,LN,
SECRETARIA DE AMBIENTE Y DESARROLLO SOSTENIBLE,16,DUARTE ROJAS SORAIDA MARÍA,,F,40035302,2025-11-21,SECRETARIO DE DESPACHO,20,10,20735000,,2025-11-21,2026-04-05,163,0,5,0,Tipo: Vacaciones | Registro base cargado desde CSV,LN,
SECRETARIA DE TIC Y GOBIERNO ABIERTO,14,VEGA RUIZ SANDRA MILENA,,F,46376642,2024-01-02,SECRETARIO DE DESPACHO,20,10,20735000,,2025-01-02,2026-04-05,482,1,4,1,Tipo: Vacaciones | Registro base cargado desde CSV,LN,
SECRETARIA DE SALUD,8,GARCÍA PÉREZ MARÍA FERNANDA,,F,46683526,2025-05-12,SECRETARIO DE DESPACHO,20,10,20735000,,2025-05-12,2026-04-05,352,0,12,0,Tipo: Vacaciones | Registro base cargado desde CSV,LN,
SECRETARIA CULTURA Y PATRIMONIO,4,TORRES DÍAZ CAMILA ANDREA,,F,52987654,2024-02-01,SECRETARIO DE DESPACHO,20,10,20735000,,2024-02-01,2026-04-05,842,2,4,2,Tipo: Vacaciones | Registro base cargado desde CSV,LN,
SECRETARIA DE TURISMO,15,SALAZAR PINEDA ANA MARÍA,,F,52990505,2025-09-16,SECRETARIO DE DESPACHO,20,10,20735000,,2025-09-16,2026-04-05,228,0,8,0,Tipo: Vacaciones | Registro base cargado desde CSV,LN,
SECRETARIA DE HACIENDA,2,PÉREZ CASTILLO JUAN DAVID,,M,71234567,2025-05-23,SECRETARIO DE DESPACHO,20,10,20735000,,2025-05-23,2026-04-05,341,0,11,0,Tipo: Vacaciones | Registro base cargado desde CSV,LN,
SECRETARIA DE PLANEACION,1,MARTÍNEZ LEÓN ANDRÉS FELIPE,,M,79456123,2024-02-01,SECRETARIO DE DESPACHO,20,10,20735000,,2024-02-01,2026-04-05,842,2,4,2,Tipo: Vacaciones | Registro base cargado desde CSV,LN,
SECRETARIA DE MINA Y ENERGIA,7,RAMÍREZ SUÁREZ CARLOS ANDRÉS,,M,91234568,2026-02-16,SECRETARIO DE DESPACHO,20,10,20735000,,2026-02-16,2026-04-05,78,0,3,0,Tipo: Vacaciones | Registro base cargado desde CSV,LN,
SECRETARIA GENERAL,5,HERNÁNDEZ VEGA PAOLA ANDREA,,F,1045678902,2026-01-15,SECRETARIA DE DESPACHO,20,10,20735000,,2026-01-15,2026-04-05,109,0,4,0,Tipo: Vacaciones | Registro base cargado desde CSV,LN,
